reci recn reclat recscale
 0.228 20 135.95 0.004
 0.24 20 134.5 0.004
 0.252 21 133.175 0.004
 0.264 21 131.9 0.004
 0.276 22 130.75 0.004
 0.288 22 129.675 0.004
 0.3 22 128.675 0.004
 0.312 23 127.8 0.004
 0.324 24 103.125 0.004
 0.336 24 102.875 0.004
 0.348 24 102.725 0.004
 0.36 25 102.6 0.004
 0.372 25 102.475 0.004
 0.384 25 102.4 0.004
 0.396 26 102.325 0.004
 0.408 26 102.25 0.004
 0.42 26 102.175 0.004
 0.432 27 102.125 0.004
 0.444 27 102.075 0.004
 0.456 27 102.025 0.004
 0.468 27 101.975 0.004
 0.48 28 101.925 0.004
 0.492 28 101.875 0.004
 0.504 28 101.85 0.004
 0.516 28 101.8 0.004
 0.528 29 101.775 0.004
 0.54 29 101.725 0.004
 0.552 28 101.7 0.004
 0.564 8 101.675 0.004
 0.576 7 101.65 0.004
 0.588 6 101.625 0.004
 0.6 6 101.6 0.004
 0 0 600 0.005
 0.012 0 600 0.005
 0.024 0 600 0.005
 0.036 0 600 0.005
 0.048 1 237.025 0.005
 0.06 6 211.55 0.005
 0.072 8 196.075 0.005
 0.084 9 185.3 0.005
 0.096 11 177.225 0.005
 0.108 12 170.925 0.005
 0.12 13 165.8 0.005
 0.132 14 161.55 0.005
 0.144 15 157.925 0.005
 0.156 16 154.8 0.005
 0.168 16 152.05 0.005
 0.18 17 149.625 0.005
 0.192 18 147.45 0.005
 0.204 18 145.475 0.005
 0.216 19 143.675 0.005
 0.228 19 142.025 0.005
 0.24 20 140.525 0.005
 0.252 20 139.125 0.005
 0.264 21 137.8 0.005
 0.276 21 136.575 0.005
 0.288 22 135.45 0.005
 0.3 22 134.35 0.005
 0.312 22 133.375 0.005
 0.324 23 132.425 0.005
 0.336 23 131.55 0.005
 0.348 24 130.8 0.005
 0.36 24 102.85 0.005
 0.372 25 102.65 0.005
 0.384 25 102.5 0.005
 0.396 25 102.4 0.005
 0.408 26 102.3 0.005
 0.42 26 102.225 0.005
 0.432 26 102.15 0.005
 0.444 27 102.1 0.005
 0.456 27 102.025 0.005
 0.468 27 101.975 0.005
 0.48 27 101.925 0.005
 0.492 28 101.9 0.005
 0.504 28 101.85 0.005
 0.516 28 101.8 0.005
 0.528 28 101.775 0.005
 0.54 28 101.725 0.005
 0.552 28 101.7 0.005
 0.564 8 101.675 0.005
 0.576 7 101.65 0.005
 0.588 7 101.625 0.005
 0.6 6 101.575 0.005
 0 0 600 0.006
 0.012 0 600 0.006
 0.024 0 600 0.006
 0.036 0 600 0.006
 0.048 1 248.475 0.006
 0.06 6 221.425 0.006
 0.072 7 204.85 0.006
 0.084 9 193.325 0.006
 0.096 10 184.7 0.006
 0.108 11 177.95 0.006
 0.12 12 172.475 0.006
 0.132 13 167.925 0.006
 0.144 14 164.075 0.006
 0.156 15 160.75 0.006
 0.168 16 157.85 0.006
 0.18 17 155.275 0.006
 0.192 17 152.95 0.006
 0.204 18 150.875 0.006
 0.216 18 149 0.006
 0.228 19 147.275 0.006
 0.24 19 145.675 0.006
 0.252 20 144.2 0.006
 0.264 20 142.85 0.006
 0.276 21 141.575 0.006
 0.288 21 140.375 0.006
 0.3 22 139.25 0.006
 0.312 22 138.2 0.006
 0.324 22 137.2 0.006
 0.336 23 136.275 0.006
 0.348 23 135.375 0.006
 0.36 24 134.55 0.006
 0.372 24 133.8 0.006
 0.384 25 103.075 0.006
 0.396 25 102.575 0.006
 0.408 25 102.425 0.006
 0.42 26 102.3 0.006
 0.432 26 102.225 0.006
 0.444 26 102.125 0.006
 0.456 27 102.075 0.006
 0.468 27 102 0.006
 0.48 27 101.95 0.006
 0.492 27 101.9 0.006
 0.504 28 101.85 0.006
 0.516 28 101.825 0.006
 0.528 28 101.775 0.006
 0.54 28 101.75 0.006
 0.552 28 101.7 0.006
 0.564 8 101.675 0.006
 0.576 7 101.65 0.006
 0.588 7 101.625 0.006
 0.6 6 101.575 0.006
 0 0 600 0.007
 0.012 0 600 0.007
 0.024 0 600 0.007
 0.036 0 600 0.007
 0.048 4 259.15 0.007
 0.06 6 230.6 0.007
 0.072 7 213.025 0.007
 0.084 8 200.75 0.007
 0.096 10 191.575 0.007
 0.108 11 184.375 0.007
 0.12 12 178.575 0.007
 0.132 13 173.75 0.007
 0.144 14 169.65 0.007
 0.156 15 166.125 0.007
 0.168 15 163.05 0.007
 0.18 16 160.325 0.007
 0.192 17 157.9 0.007
 0.204 17 155.725 0.007
 0.216 18 153.725 0.007
 0.228 19 151.925 0.007
 0.24 19 150.25 0.007
 0.252 20 148.725 0.007
 0.264 20 147.3 0.007
 0.276 21 145.975 0.007
 0.288 21 144.725 0.007
 0.3 21 143.55 0.007
 0.312 22 142.45 0.007
 0.324 22 141.425 0.007
 0.336 23 140.425 0.007
 0.348 23 139.5 0.007
 0.36 23 138.625 0.007
 0.372 24 137.8 0.007
 0.384 24 137.025 0.007
 0.396 24 136.3 0.007
 0.408 25 135.7 0.007
 0.42 26 102.525 0.007
 0.432 26 102.325 0.007
 0.444 26 102.225 0.007
 0.456 26 102.125 0.007
 0.468 27 102.05 0.007
 0.48 27 102 0.007
