reci recn reclat recscale
 0 0 600 0
 0.03 0 600 0
 0.06 0 600 0
 0.09 12 129.6 0
 0.12 17 113.475 0
 0.15 20 109.35 0
 0.18 22 107.3 0
 0.21 24 106.05 0
 0.24 26 105.2 0
 0.27 28 104.575 0
 0.3 29 104.1 0
 0.33 31 103.725 0
 0.36 32 103.425 0
 0.39 33 103.175 0
 0.42 34 102.95 0
 0.45 35 102.775 0
 0.48 36 102.625 0
 0.51 37 102.475 0
 0.54 38 102.35 0
 0.57 39 102.25 0
 0.6 40 102.15 0
 0.63 40 102.05 0
 0.66 41 101.975 0
 0.69 42 101.9 0
 0.72 43 101.85 0
 0.75 43 101.775 0
 0.78 44 101.725 0
 0.81 45 101.675 0
 0.84 45 101.625 0
 0.87 46 101.575 0
 0.9 47 101.55 0
 0.93 47 101.5 0
 0.96 48 101.475 0
 0.99 49 101.425 0
 1.02 49 101.4 0
 1.05 50 101.375 0
 1.08 50 101.325 0
 1.11 51 101.3 0
 1.14 51 101.275 0
 1.17 52 101.25 0
 1.2 53 101.225 0
 1.23 53 101.225 0
 1.26 54 101.2 0
 1.29 54 101.175 0
 1.32 55 101.15 0
 1.35 55 101.125 0
 1.38 56 101.125 0
 1.41 56 101.1 0
 1.44 57 101.075 0
 1.47 57 101.075 0
 1.5 58 101.05 0
 0 0 600 0.0005
 0.03 0 600 0.0005
 0.06 0 600 0.0005
 0.09 0 600 0.0005
 0.12 0 600 0.0005
 0.15 15 112.725 0.0005
 0.18 19 108.175 0.0005
 0.21 22 106.45 0.0005
 0.24 24 105.425 0.0005
 0.27 26 104.7 0.0005
 0.3 28 104.175 0.0005
 0.33 29 103.775 0.0005
 0.36 30 103.45 0.0005
 0.39 32 103.2 0.0005
 0.42 33 102.975 0.0005
 0.45 34 102.775 0.0005
 0.48 35 102.625 0.0005
 0.51 36 102.475 0.0005
 0.54 37 102.35 0.0005
 0.57 38 102.25 0.0005
 0.6 39 102.15 0.0005
 0.63 39 102.05 0.0005
 0.66 40 101.975 0.0005
 0.69 41 101.9 0.0005
 0.72 42 101.85 0.0005
 0.75 42 101.775 0.0005
 0.78 43 101.725 0.0005
 0.81 44 101.675 0.0005
 0.84 45 101.625 0.0005
 0.87 45 101.575 0.0005
 0.9 46 101.525 0.0005
 0.93 46 101.5 0.0005
 0.96 47 101.45 0.0005
 0.99 48 101.425 0.0005
 1.02 48 101.4 0.0005
 1.05 49 101.35 0.0005
 1.08 49 101.325 0.0005
 1.11 50 101.3 0.0005
 1.14 51 101.275 0.0005
 1.17 51 101.25 0.0005
 1.2 52 101.225 0.0005
 1.23 52 101.2 0.0005
 1.26 53 101.175 0.0005
 1.29 53 101.175 0.0005
 1.32 54 101.15 0.0005
 1.35 54 101.125 0.0005
 1.38 55 101.1 0.0005
